,EQ,GOV,IG,SEC,GOLD,EMD,ILB,HY
2004,33.878881426470066,22.59489203073238,22.358122466057488,12.813379041102971,1.239664591043405,2.543839735506785,2.054081093702944,2.5171396153839547
2005,36.12706903997414,20.97838670168204,21.975323505164976,12.579814651440808,1.4198710588236907,2.5383659354972132,1.9071260637892762,2.4740430436278453
2006,38.753410382539286,19.537897806242015,21.519942414356557,12.092889685903808,1.5520911252946505,2.3448210840217802,1.7761725278401828,2.4227749738017312
2007,40.09194787806884,18.47015034495681,21.329293370523953,11.892290999537519,1.7784163845217544,2.3574852714119348,1.6791045768142554,2.401311174164948
2008,24.84634061335001,24.733765271082806,25.441308334779904,15.189048505366198,2.1592361258280985,2.5175237778065065,2.2485241155529816,2.8642532562334995
2009,31.700612588212383,24.158852283200027,21.972172150728905,12.431948127010257,2.438809914303745,2.6276573826918814,2.1962592984727296,2.473688255380075
2010,33.52719766352399,25.21677972591072,20.501259256470053,10.372096405119882,2.9271416539949136,2.855001983979591,2.292434520537338,2.308088790463516
2011,30.11375608531249,27.166827117879695,21.02087635873505,10.495836693272768,3.4103452520188893,2.956058207481119,2.4697115561708807,2.366588729129111
2012,32.688903850412956,26.243997468926743,20.053193023905006,9.618218130132455,3.4700429180745256,3.2821824091032785,2.3858179517206133,2.257644247724405
2013,37.41072264960319,24.71516810511634,19.087768813160068,8.794854144732254,2.4691849504163215,3.126513768077488,2.2468334641014853,2.148954104792855
2014,39.63040445764906,23.654957568761333,18.331789566904337,8.355159174473343,2.5432981004742987,3.27009658514277,2.150450688069212,2.0638438585256536
2015,38.48498241019437,23.838573141245444,19.09981790202668,8.74744741839032,2.3988051586140138,3.112920331957211,2.1671430128404947,2.1503106247314796
2016,39.292714065715295,23.045955313216997,18.91743524652461,8.641560402799062,2.596723957256517,3.280746689745875,2.0950868466560904,2.129777478085552
2017,42.46697758929486,21.2528310636392,18.041018985496514,8.045218448277419,2.61202621204911,3.618744052298072,1.932075551239927,2.0311080977049056
2018,39.02289145622244,22.66591428205253,19.048165992931597,8.445134623622186,2.7174419380733608,3.8954185359551126,2.0605376620047755,2.1444955091379945
2019,40.442224591265266,21.90390189825586,18.41459941622019,8.261671951024834,3.045211606251096,3.8679599063567465,1.991263808932351,2.073166821693664
2020,42.73245487914683,21.429563001604215,17.374454305125305,7.691637586044544,3.359840581659134,3.507843163397275,1.9481420910549287,1.9560643919677496
2021,46.63981672398425,19.61656593813641,16.419249313601174,7.134230433466343,3.074533492237071,3.483755165220128,1.7833241761942193,1.8485247571603975
2022,41.717508947204706,21.40049494696551,17.8446715271365,7.7337336192148225,3.31055035993594,4.038538304198558,1.9454995406332283,2.0090027547107323
