date,GMP指数(規約準拠),株債 60/40,株/金 50/50,株/債/金 1/3ずつ
1979-07-31,0.020073774329344856,0.01366961554855923,0.04151551011654648,0.03417194530360529
1979-08-31,0.016490389533152128,0.024108595761780437,0.0606254176144692,0.0408567728097045
1979-09-30,0.02649706781444161,0.01664203565800441,0.14967622183574691,0.10637630247634883
1979-10-31,-0.05665859290227779,-0.06202019591421626,-0.05423138140008733,-0.052565224777952405
1979-11-30,0.009115747460856303,0.023308178547606896,0.07394443212205871,0.05519343744982946
1979-12-31,0.04824989905733659,0.025943079774807393,0.1716108267614679,0.13202543433544678
1980-01-31,0.04340408598882955,0.03442685548639522,0.16978329802623593,0.10949919371592248
1980-02-29,-0.05047008948126038,-0.021618546400043726,-0.020675599556266525,-0.033610874102395556
1980-03-31,-0.08103491474781976,-0.07599620101662267,-0.16333755460258365,-0.12330425674630106
1980-04-30,0.06829517451328142,0.07243711179124859,0.04933847656223346,0.05952508558559775
1980-05-31,0.07062629820459228,0.059047900799037614,0.03748394817964753,0.04857215082453607
1980-06-30,0.06933017004216584,0.04149776886329061,0.14557129690231413,0.1064718833483682
1980-07-31,-0.004678930021099247,0.0183862114269633,-0.020226571837897583,-0.015104574402428357
1980-08-31,-0.010494346615009328,0.0021607966522682077,0.024196742101577073,0.006687472678333863
1980-09-30,0.00885943890652079,0.01930031461787677,0.04520379221743084,0.030264151259302288
1980-10-31,-0.00951957745120911,0.013639457623351038,-0.009725423004524711,-0.012961140115184261
1980-11-30,-0.003334342581278123,0.023165588948808054,0.01152537072115083,0.003357856008077583
1980-12-31,-0.014703070677636713,-0.011675358588497513,-0.034685407043656344,-0.0236328969896224
1981-01-31,-0.014517510163884428,-0.01761873947943314,-0.08279479369748874,-0.056634484830729435
1981-02-28,-0.02296327358043908,-0.016343587975856905,-0.01323135849183114,-0.025404202334661702
1981-03-31,0.028949342006754284,0.03200445236683001,0.04410318679235276,0.03570047833711363
1981-04-30,-0.019059179914531384,-0.00892532633672406,-0.02701975827559938,-0.028468229856880398
1981-05-31,-0.013864348078202818,-0.015566965575255273,-0.009975627861035598,-0.012617228425405688
1981-06-30,-0.001873287710129689,-0.004600864631956349,-0.0518764792434016,-0.04001104207675658
1981-07-31,-0.023872270520725426,-0.020779563045881237,-0.023812434358268013,-0.027030627566491654
1981-08-31,-0.009238232472155467,-0.019347145013014773,0.010405837745879293,-0.0012152957838980176
1981-09-30,-0.022905519248830098,-0.04101824581199873,-0.041392002640881394,-0.022526678893651703
1981-10-31,0.036772429513896226,0.04599279974741663,0.021095843069468326,0.03669456944678035
